noise,model_scores
0.01,"{'car': [0.79, 0.56, 0.52, 0.5, 0.33, 0.33, 0.27], 'motorcycle': [0.77], 'traffic light': [0.57, 0.49, 0.35], 'person': [0.55], 'truck': [0.5]}"
0.03,"{'car': [0.76, 0.53], 'motorcycle': [0.75], 'truck': [0.74], 'person': [0.5], 'traffic light': [0.5, 0.44, 0.4]}"
0.05,"{'car': [0.8, 0.4], 'motorcycle': [0.76], 'truck': [0.6], 'traffic light': [0.53, 0.51, 0.34], 'person': [0.5]}"
0.07,"{'car': [0.77, 0.72, 0.56], 'motorcycle': [0.76], 'traffic light': [0.6, 0.48], 'person': [0.33]}"
0.09,"{'car': [0.82, 0.38], 'motorcycle': [0.74], 'truck': [0.66], 'traffic light': [0.52, 0.42], 'person': [0.27]}"
0.11,"{'car': [0.77, 0.64, 0.37, 0.3], 'motorcycle': [0.72], 'person': [0.44]}"
0.13,"{'car': [0.8, 0.48, 0.28], 'motorcycle': [0.71], 'truck': [0.53], 'traffic light': [0.38], 'person': [0.27]}"
0.15,"{'car': [0.84, 0.82], 'motorcycle': [0.75], 'person': [0.47], 'traffic light': [0.34, 0.27]}"
0.17,"{'car': [0.8, 0.45], 'motorcycle': [0.72], 'truck': [0.53], 'person': [0.28]}"
0.2,"{'car': [0.73, 0.68], 'motorcycle': [0.7]}"
0.25,"{'car': [0.8, 0.74], 'motorcycle': [0.74], 'person': [0.55]}"
0.3,"{'car': [0.83, 0.8], 'motorcycle': [0.71], 'person': [0.32]}"
0.35,"{'car': [0.81, 0.58], 'motorcycle': [0.54], 'truck': [0.41], 'person': [0.35]}"
0.4,"{'car': [0.84, 0.41], 'truck': [0.57]}"
0.5,"{'car': [0.78, 0.59]}"
